,location index,lat,lon,location
0,0,-38.10061739,145.4883256,"1110 Koo Wee Rup Rd, Pakenham VIC 3810, Australia"
1,1,-38.06260449,145.3674737,"24 Hartsmere Dr, Berwick VIC 3806, Australia"
2,2,-38.35782206,144.7571346,"540A Melbourne Rd, Sorrento VIC 3943, Australia"
3,3,-38.35518626,144.7527764,"633A Melbourne Rd, Sorrento VIC 3943, Australia"
4,4,-38.35195016,144.9189121,"757 B110, Rosebud VIC 3939, Australia"
5,5,-38.35883054,144.893448,"1337 Nepean Hwy, Rosebud VIC 3939, Australia"
6,6,-38.36279773,144.8795499,"1577 Point Nepean Rd, Capel Sound VIC 3940, Australia"
7,7,-38.36627959,144.8030569,"2605 Point Nepean Rd, Rye VIC 3941, Australia"
8,8,-38.36480409,144.7964164,"2675 Point Nepean Rd, Rye VIC 3941, Australia"
9,9,-38.37085143,144.83762,"Rye VIC 3941, Australia"
10,10,-38.37751179999999,144.8890047,"190 Boneo Rd, Capel Sound VIC 3940, Australia"
11,11,-38.36339344,144.87707419999998,"1607 Point Nepean Rd, Capel Sound VIC 3940, Australia"
12,12,-37.78730624,144.9216184,"564A Racecourse Rd, Flemington VIC 3031, Australia"
13,13,-37.7893969,144.94229230000002,"1 Southgate St, Parkville VIC 3052, Australia"
14,14,-37.78770826,144.9258717,"442 Racecourse Rd, Flemington VIC 3031, Australia"
15,15,-37.78807331,144.92922230000002,"340 Racecourse Rd, Flemington VIC 3031, Australia"
16,16,-37.78900814,144.9391397,"70 Racecourse Rd, North Melbourne VIC 3051, Australia"
17,17,-37.78933386,144.942165,"72a State Route 60, Parkville VIC 3052, Australia"
18,18,-37.78937027,144.94235419999998,"1 Southgate St, Parkville VIC 3052, Australia"
19,19,-37.83525117,144.9345042,"410 State Route 33, Port Melbourne VIC 3207, Australia"
20,20,-37.78897348,144.9388386,"70 State Route 83, North Melbourne VIC 3051, Australia"
21,21,-37.89571794,145.2936195,"Unit 3/79 Glenfern Rd, Ferntree Gully VIC 3156, Australia"
22,22,-37.80435274,145.03769430000003,"365 High St, Kew VIC 3101, Australia"
23,23,-37.83257778,144.95327509999998,"236 York St, South Melbourne VIC 3205, Australia"
24,24,-37.85652016,145.2678593,"165 State Route 7, Bayswater VIC 3153, Australia"
25,25,-37.85962155,145.2672744,"178 State Route 7, Boronia VIC 3155, Australia"
26,26,-37.80101901,144.9695489,"5 Grattan St, Carlton VIC 3053, Australia"
27,27,-37.80085244,144.96802160000001,"44 Grattan St, Carlton VIC 3053, Australia"
28,28,-37.81333714,145.3336477,"27 Canterbury Rd, Montrose VIC 3765, Australia"
29,29,-38.14729632,145.1247928,"51 Davey St, Frankston VIC 3199, Australia"
30,30,-37.78182429,145.2932755,"125 State Route 5, Croydon VIC 3136, Australia"
31,31,-37.776014200000006,145.2943605,"58 Dorset Rd, Croydon VIC 3136, Australia"
32,32,-37.91387237,145.1212381,"1456 State Route 18, Oakleigh East VIC 3166, Australia"
33,33,-38.06539186,145.2001646,"795 Frankston - Dandenong Rd, Bangholme VIC 3175, Australia"
34,34,-37.83522313,144.92406709999997,"324 Williamstown Rd, Port Melbourne VIC 3207, Australia"
35,35,-37.79112941,144.9856797,"1 Queens Parade, Clifton Hill VIC 3068, Australia"
36,36,-37.92151599,145.1384033,"Clayton VIC 3168, Australia"
37,37,-37.84117507,145.0092891,"444 State Route 26, Toorak VIC 3142, Australia"
38,38,-37.52666619,144.9476328,"1324 Hume Fwy, Kalkallo VIC 3064, Australia"
39,39,-37.74403322,144.70067749999998,"Hopkins Rd, Rockbank VIC 3335, Australia"
40,40,-37.75309793,144.7038004,"Hopkins Rd, Rockbank VIC 3335, Australia"
41,41,-37.76411441,144.9230352,"705 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia"
42,42,-37.73312671,144.921421,"5 Vernon St, Strathmore VIC 3041, Australia"
43,43,-37.68806115,145.1426953,"311 State Route 57, Diamond Creek VIC 3089, Australia"
44,44,-37.69164902,145.09101030000002,"2 Goolgung Grove, Greensborough VIC 3088, Australia"
45,45,-37.70454566,145.1024306,"73-79 Grimshaw St, Greensborough VIC 3088, Australia"
46,46,-37.87249457,145.1508606,"598 State Route 24, Glen Waverley VIC 3150, Australia"
47,47,-37.872361600000005,145.1497434,"653 State Route 24, Glen Waverley VIC 3150, Australia"
48,48,-37.89151449,145.1072612,"578 Huntingdale Rd, Mount Waverley VIC 3149, Australia"
49,49,-37.88806797,145.107924,"75 Huntingdale Rd, Chadstone VIC 3148, Australia"
50,50,-37.89738945,145.1106779,"113 State Route 22, Oakleigh East VIC 3166, Australia"
51,51,-37.90483435,145.1737635,"Wheelers Hill VIC 3150, Australia"
52,52,-37.83457724,145.20308169999998,"696 State Route 32, Vermont VIC 3133, Australia"
